Rank,Title,Year,Rating,Run Time (min),Genre
30,Saving Private Ryan,1998,8.6,169,"Drama, War"
31,Cidade de Deus,2002,8.6,130,"Crime, Drama"
32,La vita è bella,1997,8.6,116,"Comedy, Drama, Romance"
33,Shichinin no samurai,1954,8.6,207,"Action, Drama"
34,It's a Wonderful Life,1946,8.6,130,"Drama, Family, Fantasy"
35,Seppuku,1962,8.6,133,"Action, Drama, Mystery"
36,Sita Ramam,2022,8.6,163,"Action, Drama, Mystery"
37,Alien,1979,8.5,117,"Horror, Sci-Fi"
38,Gladiator,2000,8.5,155,"Action, Adventure, Drama"
39,Whiplash,2014,8.5,106,"Drama, Music"
40,Gisaengchung,2019,8.5,132,"Drama, Thriller"
41,The Departed,2006,8.5,151,"Crime, Drama, Thriller"
42,Back to the Future,1985,8.5,116,"Adventure, Comedy, Sci-Fi"
43,Léon,1994,8.5,110,"Action, Crime, Drama"
44,The Prestige,2006,8.5,130,"Drama, Mystery, Sci-Fi"
45,Psycho,1960,8.5,109,"Horror, Mystery, Thriller"
46,The Lion King,1994,8.5,88,"Animation, Adventure, Drama"
47,Apocalypse Now,1979,8.5,147,"Drama, Mystery, War"
48,The Pianist,2002,8.5,150,"Biography, Drama, Music"
49,American History X,1998,8.5,119,"Crime, Drama"
50,The Usual Suspects,1995,8.5,106,"Crime, Drama, Mystery"
51,Casablanca,1942,8.5,102,"Drama, Romance, War"
52,Once Upon a Time in the West,1968,8.5,165,Western
53,The Intouchables,2011,8.5,112,"Biography, Comedy, Drama"
54,Hotaru no haka,1988,8.5,89,"Animation, Drama, War"
55,Rear Window,1954,8.5,112,"Mystery, Thriller"
56,Nuovo Cinema Paradiso,1988,8.5,155,"Drama, Romance"
57,Modern Times,1936,8.5,87,"Comedy, Drama, Romance"
58,Kaithi,2019,8.5,145,"Action, Adventure, Crime"
59,City Lights,1931,8.5,87,"Comedy, Drama, Romance"
60,96(II),II 2018,8.5,158,"Drama, Romance"
61,Avengers: Endgame,2019,8.4,181,"Action, Adventure, Drama"
62,Joker(I),I 2019,8.4,122,"Crime, Drama, Thriller"
63,Kimi no na wa.,2016,8.4,106,"Animation, Drama, Fantasy"
64,Spider-Man: Into the Spider-Verse,2018,8.4,117,"Animation, Action, Adventure"
65,The Shining,1980,8.4,146,"Drama, Horror"
66,Django Unchained,2012,8.4,165,"Drama, Western"
67,Raiders of the Lost Ark,1981,8.4,115,"Action, Adventure"
68,Oldeuboi,2003,8.4,101,"Action, Drama, Mystery"
69,The Dark Knight Rises,2012,8.4,164,"Action, Drama, Thriller"
70,Aliens,1986,8.4,137,"Action, Adventure, Sci-Fi"
71,Avengers: Infinity War,2018,8.4,149,"Action, Adventure, Sci-Fi"
